date,tmax,tmin,rain,wind,wdir1,wdir2,cond1,cond2,rh1,rh2,bss,evap
2026-03-16,29.0,14.4,0.0,7.1,SE,S,1.0,0.0,82.0,40.0,6.4,4.0
2026-03-17,31.0,15.6,0.0,5.5,C,NW,1.0,0.0,84.0,38.0,8.7,4.7
2026-03-18,31.1,15.2,0.0,3.2,C,N,1.0,1.0,70.0,36.0,6.9,4.5
2026-03-19,32.9,16.0,9.9,5.2,C,SW,2.0,2.0,94.0,67.0,6.4,4.5
2026-03-20,24.9,14.7,6.5,6.4,NW,W,5.0,2.0,98.0,83.0,0.5,3.8
2026-03-21,21.4,12.6,2.8,3.6,C,N,4.0,2.0,96.0,51.0,0.3,3.5
2026-03-22,26.4,15.5,0.0,4.8,C,NW,4.0,0.0,90.0,48.0,6.2,3.8
2026-03-23,28.2,16.0,0.4,3.5,C,W,5.0,1.0,98.0,56.0,8.8,4.2
2026-03-24,28.8,15.2,0.0,1.9,C,NW,1.0,0.0,85.0,38.0,3.9,4.0
2026-03-25,30.7,14.7,0.0,4.5,C,NW,1.0,0.0,90.0,27.0,9.0,4.4
2026-03-26,32.2,18.0,0.0,4.1,C,NW,0.0,0.0,84.0,27.0,9.1,4.8
2026-03-27,34.5,20.1,0.0,5.1,NW,W,2.0,0.0,69.0,45.0,5.7,4.6
2026-03-28,31.9,16.4,0.0,4.0,C,N,1.0,1.0,77.0,33.0,4.9,4.3
2026-03-29,33.1,18.6,0.0,2.4,SE,SE,1.0,2.0,61.0,42.0,7.6,4.4
2026-03-30,35.0,18.5,0.0,4.6,C,NW,1.0,2.0,91.0,41.0,6.9,4.5
2026-03-31,34.4,17.4,0.0,5.2,C,NW,2.0,2.0,81.0,41.0,5.1,4.6
2026-04-01,33.0,16.8,10.3,3.9,C,SW,1.0,1.0,92.0,43.0,3.1,4.2
2026-04-02,32.9,18.6,0.0,2.2,C,SW,1.0,0.0,76.0,32.0,7.0,4.6
2026-04-03,36.0,18.9,0.0,4.0,W,N,1.0,1.0,84.0,63.0,8.2,4.8
2026-04-04,28.9,16.2,0.9,6.1,SW,NW,2.0,1.0,89.0,43.0,3.9,4.0
2026-04-05,31.0,18.5,0.0,3.3,C,W,1.0,0.0,75.0,32.0,6.1,4.5
2026-04-06,31.6,16.8,0.0,4.3,C,NW,0.0,0.0,82.0,28.0,8.7,4.8
2026-04-07,32.5,18.9,0.5,6.5,C,SW,1.0,5.0,79.0,90.0,9.5,5.0
2026-04-08,28.1,16.5,6.3,5.7,C,NW,2.0,0.0,88.0,45.0,1.1,4.9
2026-04-09,27.5,15.3,0.0,4.1,C,NW,1.0,0.0,73.0,38.0,7.8,5.0
2026-04-10,30.1,16.6,0.0,4.2,NW,NW,0.0,0.0,57.0,23.0,9.2,5.6
2026-04-11,32.9,20.0,0.0,10.3,NW,SW,1.0,1.0,52.0,28.0,9.1,6.0
2026-04-12,34.6,18.5,0.0,6.4,N,W,0.0,0.0,62.0,27.0,8.8,6.1
2026-04-13,34.5,17.5,0.0,6.4,W,NW,1.0,0.0,50.0,25.0,10.2,6.9
2026-04-14,35.8,17.9,0.0,5.9,C,W,0.0,0.0,66.0,25.0,9.9,6.8
2026-04-15,37.9,16.6,0.0,3.4,C,N,0.0,0.0,83.0,21.0,9.0,6.9
2026-04-16,39.0,17.9,0.0,4.0,C,W,0.0,0.0,64.0,21.0,9.5,7.2
2026-04-17,40.0,22.7,0.2,2.8,C,E,2.0,2.0,67.0,24.0,8.7,7.0
2026-04-18,39.0,21.5,10.6,5.8,C,W,0.0,0.0,79.0,29.0,2.4,6.0
2026-04-19,40.1,23.0,0.0,5.0,C,NW,0.0,0.0,63.0,25.0,9.3,7.5
2026-04-20,39.7,23.9,0.0,3.0,C,NW,0.0,0.0,63.0,24.0,9.0,7.6
2026-04-21,39.4,21.8,0.0,5.2,W,W,0.0,0.0,53.0,28.0,9.9,7.8
2026-04-22,38.7,20.2,0.0,5.9,W,NW,0.0,0.0,42.0,26.0,9.2,7.6
2026-04-23,40.9,20.5,0.0,6.1,W,NW,0.0,0.0,35.0,24.0,9.2,7.9
2026-04-24,41.0,22.3,0.0,4.7,C,W,0.0,0.0,47.0,26.0,9.3,8.1
2026-04-25,41.6,25.1,0.0,3.6,NW,W,0.0,0.0,52.0,32.0,8.3,8.3
2026-04-26,42.8,25.8,0.0,4.9,C,NW,0.0,0.0,50.0,29.0,7.7,8.4
2026-04-27,42.2,24.2,0.0,5.1,C,NW,0.0,0.0,64.0,36.0,9.3,7.9
2026-04-28,42.3,24.4,0.0,8.7,W,SE,1.0,1.0,76.0,32.0,8.9,8.3
2026-04-29,38.0,22.5,0.2,6.2,C,E,2.0,0.0,85.0,36.0,6.7,7.8
2026-04-30,36.7,23.9,0.0,3.1,C,SE,0.0,1.0,64.0,30.0,6.0,7.9
2026-05-01,38.8,21.0,0.0,9.1,SE,W,0.0,0.0,69.0,29.0,7.5,7.8
2026-05-02,36.6,24.8,0.0,4.5,C,W,0.0,0.0,65.0,37.0,9.0,8.0
2026-05-03,37.7,24.5,0.0,6.6,SE,SE,0.0,0.0,68.0,41.0,9.5,8.2
2026-05-04,36.9,20.0,3.5,9.6,E,SE,2.0,0.0,86.0,57.0,8.3,7.9
2026-05-05,31.0,21.9,3.8,9.2,NW,W,1.0,1.0,81.0,68.0,8.4,7.8
2026-05-06,29.9,19.4,0.0,4.2,C,NW,0.0,0.0,79.0,37.0,7.3,7.5
2026-05-07,35.0,23.5,0.0,4.5,SE,SE,1.0,0.0,55.0,47.0,9.4,8.0
2026-05-08,31.9,22.1,0.0,9.0,SE,S,1.0,0.0,79.0,42.0,9.7,8.1
2026-05-09,34.4,23.0,0.0,6.5,SE,SW,0.0,0.0,66.0,38.0,9.9,8.4
2026-05-10,36.0,24.8,0.0,4.7,S,SW,1.0,0.0,69.0,42.0,9.3,8.5
2026-05-11,35.2,26.0,0.0,5.5,C,S,1.0,1.0,62.0,48.0,7.1,8.2
2026-05-12,36.6,26.9,0.0,4.0,S,SE,1.0,0.0,71.0,45.0,4.6,8.0
2026-05-13,38.2,26.1,0.0,5.3,SE,E,1.0,0.0,79.0,43.0,8.4,8.8
2026-05-14,37.7,25.2,0.3,8.4,E,S,0.0,0.0,81.0,42.0,8.3,9.0
2026-05-15,39.8,26.0,0.0,6.8,SW,NW,0.0,0.0,69.0,39.0,9.5,9.2
2026-05-16,40.1,27.8,0.0,4.4,NW,NW,0.0,0.0,66.0,34.0,9.8,9.0
2026-05-17,41.0,27.2,0.0,5.8,C,W,0.0,0.0,59.0,28.0,9.7,9.5
2026-05-18,41.8,26.7,0.0,7.1,W,N,0.0,0.0,66.0,27.0,9.9,9.5
2026-05-19,43.4,26.9,0.0,6.8,SW,NW,0.0,0.0,55.0,29.0,9.6,9.6
2026-05-20,44.8,26.0,0.0,5.8,NW,NW,0.0,0.0,44.0,29.0,9.9,9.7
2026-05-21,43.8,30.8,0.0,6.5,W,NW,0.0,0.0,49.0,36.0,9.7,9.3
2026-05-22,43.1,29.1,0.0,9.7,W,W,0.0,0.0,43.0,33.0,9.4,9.3
2026-05-23,42.5,27.5,1.3,5.7,NW,NW,1.0,1.0,48.0,41.0,9.1,9.0
2026-05-24,40.8,25.9,0.0,6.5,W,NW,1.0,0.0,47.0,32.0,7.3,8.6
2026-05-25,42.8,32.1,0.0,7.6,W,NW,1.0,0.0,45.0,35.0,9.6,9.0
2026-05-26,42.7,26.0,0.0,6.1,NW,N,0.0,0.0,48.0,29.0,7.1,8.8
2026-05-27,42.9,25.0,0.0,5.6,NW,NW,0.0,0.0,63.0,27.0,9.9,8.9
2026-05-28,44.0,27.5,0.0,5.8,SE,S,0.0,0.0,62.0,38.0,9.7,9.0
2026-05-29,38.0,24.8,0.5,10.7,S,SE,0.0,0.0,79.0,49.0,9.4,9.0
2026-05-30,35.0,26.0,0.0,8.2,SE,SW,0.0,0.0,76.0,59.0,6.8,9.2
2026-05-31,33.2,22.9,0.3,9.6,SE,E,0.0,1.0,69.0,48.0,8.8,8.0
2026-06-01,34.4,24.0,0.0,7.1,E,S,0.0,0.0,72.0,49.0,8.3,9.0
2026-06-02,34.9,25.4,0.0,5.3,C,SE,1.0,1.0,71.0,47.0,8.5,8.7
2026-06-03,36.0,25.5,0.0,3.6,C,N,0.0,0.0,72.0,43.0,8.1,8.8
2026-06-04,39.2,27.5,0.0,2.8,C,SE,0.0,2.0,67.0,52.0,9.2,9.0
2026-06-05,39.1,23.8,8.1,8.2,C,NE,2.0,1.0,77.0,60.0,5.3,8.8
2026-06-06,35.6,25.7,0.0,1.9,C,NE,0.0,0.0,77.0,39.0,3.6,8.5
2026-06-07,39.8,26.4,0.0,5.9,NW,N,0.0,0.0,60.0,38.0,8.4,9.0
2026-06-08,41.1,28.5,0.0,6.3,W,N,0.0,0.0,66.0,35.0,8.5,9.2
2026-06-09,42.3,27.8,0.0,5.6,W,NW,0.0,0.0,61.0,29.0,9.9,9.1
2026-06-10,43.1,26.8,4.0,9.8,SW,SW,1.0,0.0,69.0,36.0,8.2,9.2
2026-06-11,42.6,30.0,0.0,7.0,SW,S,1.0,0.0,62.0,48.0,8.3,9.0
2026-06-12,37.8,23.4,7.3,14.3,E,SE,2.0,1.0,86.0,60.0,6.6,8.9
2026-06-13,33.8,22.4,12.2,9.6,NE,W,1.0,1.0,69.0,55.0,5.3,8.5
2026-06-14,35.8,25.5,0.0,1.9,C,NW,0.0,0.0,73.0,46.0,7.5,9.0
2026-06-15,38.2,28.0,0.4,6.1,NW,N,2.0,2.0,78.0,57.0,8.4,9.2
2026-06-16,35.7,24.2,5.8,6.6,SW,E,2.0,1.0,84.0,67.0,3.9,8.8
2026-06-17,33.0,23.6,0.2,5.7,SW,SW,0.0,0.0,68.0,49.0,4.2,8.5
2026-06-18,37.2,27.0,0.0,3.3,NW,SW,1.0,0.0,68.0,45.0,9.9,8.8
2026-06-19,38.8,26.6,0.0,7.8,W,W,1.0,1.0,80.0,46.0,8.2,8.6
2026-06-20,38.9,28.3,0.0,6.9,NW,NW,1.0,1.0,62.0,46.0,8.4,8.7
2026-06-21,39.7,28.5,0.0,8.6,W,W,2.0,2.0,62.0,49.0,7.8,8.8
2026-06-22,38.9,28.6,0.0,9.3,W,NW,2.0,0.0,66.0,46.0,4.1,8.6
2026-06-23,38.1,28.4,0.0,6.0,C,S,0.0,0.0,68.0,39.0,7.9,8.5
2026-06-24,39.5,27.7,3.2,5.2,SW,SW,0.0,0.0,78.0,44.0,6.3,8.8
2026-06-25,39.0,27.2,8.5,3.9,C,S,1.0,0.0,71.0,46.0,7.3,8.5
2026-06-26,38.5,28.0,0.0,3.3,W,SW,0.0,0.0,71.0,42.0,7.6,8.5
2026-06-27,40.6,30.2,0.0,5.4,C,NW,0.0,0.0,69.0,48.0,9.4,8.8
2026-06-28,40.0,29.5,0.0,4.0,C,SW,0.0,0.0,71.0,45.0,7.6,8.5
2026-06-29,41.6,30.6,0.0,4.9,W,NW,0.0,0.0,75.0,41.0,7.4,9.0
2026-06-30,42.0,31.9,0.0,7.4,SW,N,2.0,2.0,66.0,47.0,8.3,8.8
2026-07-01,40.1,27.4,3.1,8.6,SE,SE,2.0,2.0,85.0,70.0,1.6,8.6
2026-07-02,32.7,23.3,1.1,4.4,SW,NW,5.0,1.0,93.0,68.0,0.3,7.9
2026-07-03,33.9,27.9,0.0,4.6,C,S,2.0,2.0,80.0,61.0,2.1,8.2
2026-07-04,36.0,28.4,0.0,3.1,C,C,1.0,2.0,78.0,69.0,3.1,8.1
2026-07-05,37.2,27.8,21.8,2.8,C,C,1.0,5.0,84.0,92.0,0.2,8.0
2026-07-06,39.4,28.0,0.2,4.1,C,S,1.0,2.0,85.0,61.0,2.1,7.9
2026-07-07,38.0,29.1,1.4,3.1,C,SE,2.0,5.0,84.0,98.0,6.4,8.1
2026-07-08,36.0,26.4,41.5,4.8,N,N,5.0,5.0,97.0,97.0,1.6,7.6
2026-07-09,31.0,24.6,80.8,7.3,NE,NW,5.0,2.0,98.0,89.0,0.0,6.8
